2023-11-03 13:45:33,257 [main.py         | 48] INFO: Start to run instance_11
2023-11-03 13:45:33,257 [simulate_api.py | 60] INFO: Start time of the simulator: 2023-11-03 00:00:00, time interval:  600.00
2023-11-03 13:45:33,281 [input_utils.py  | 47] INFO: Get 154 factories
2023-11-03 13:45:34,933 [input_utils.py  | 51] INFO: Get 23562 routes
2023-11-03 13:45:34,989 [input_utils.py  | 56] INFO: Get 5 vehicles
2023-11-03 13:45:35,021 [input_utils.py  | 60] INFO: Get 100 orders
2023-11-03 13:45:35,021 [simulate_api.py | 87] INFO: Initial position of V_1 is e2d5093fbe36431f8986ddb0e1c586be
2023-11-03 13:45:35,021 [simulate_api.py | 87] INFO: Initial position of V_2 is 7fe14b93f0f04ee7a994ef5b2c1fdb72
2023-11-03 13:45:35,021 [simulate_api.py | 87] INFO: Initial position of V_3 is fa366fc87a124d32926daa5bb093129f
2023-11-03 13:45:35,021 [simulate_api.py | 87] INFO: Initial position of V_4 is e47399648fa842b2b8f80094343d8091
2023-11-03 13:45:35,021 [simulate_api.py | 87] INFO: Initial position of V_5 is becb4f85393540b287e7329758b8d832
2023-11-03 13:45:35,021 [simulate_environment.py | 115] INFO: **************************************************
2023-11-03 13:45:35,021 [simulate_environment.py | 119] INFO: cur time: 2023-11-03 00:10:00, pre time: 2023-11-03 00:00:00
2023-11-03 13:45:35,021 [simulate_environment.py | 157] INFO: Start to update the input of 2023-11-03 00:10:00
2023-11-03 13:45:35,021 [simulate_environment.py | 184] INFO: Get 4 unallocated order items, 0 ongoing order items, 0 completed order items
2023-11-03 13:45:37,595 [simulate_environment.py | 270] INFO: 2023-11-03 00:10:00, Item 0001210001-1: state = 1 < 2, we can not finish the simulation
2023-11-03 13:45:37,595 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_1 is  0.000, visited node list: 2
2023-11-03 13:45:37,595 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_2 is  0.000, visited node list: 2
2023-11-03 13:45:37,603 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_3 is  0.000, visited node list: 2
2023-11-03 13:45:37,603 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_4 is  0.000, visited node list: 2
2023-11-03 13:45:37,603 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_5 is  0.000, visited node list: 2
2023-11-03 13:45:37,603 [simulate_environment.py | 115] INFO: **************************************************
2023-11-03 13:45:37,603 [simulate_environment.py | 119] INFO: cur time: 2023-11-03 00:20:00, pre time: 2023-11-03 00:10:00
2023-11-03 13:45:37,603 [simulate_environment.py | 157] INFO: Start to update the input of 2023-11-03 00:20:00
2023-11-03 13:45:37,603 [simulate_environment.py | 184] INFO: Get 5 unallocated order items, 0 ongoing order items, 0 completed order items
2023-11-03 13:45:40,152 [simulate_environment.py | 270] INFO: 2023-11-03 00:20:00, Item 0001210001-1: state = 1 < 2, we can not finish the simulation
2023-11-03 13:45:40,152 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_1 is  0.000, visited node list: 3
2023-11-03 13:45:40,152 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_2 is  0.000, visited node list: 3
2023-11-03 13:45:40,160 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_3 is  0.000, visited node list: 3
2023-11-03 13:45:40,160 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_4 is  0.000, visited node list: 3
2023-11-03 13:45:40,160 [evaluator.py    | 64] INFO: Traveling Distance of Vehicle V_5 is  0.000, visited node list: 3
2023-11-03 13:45:40,160 [simulate_environment.py | 115] INFO: **************************************************
2023-11-03 13:45:40,160 [simulate_environment.py | 119] INFO: cur time: 2023-11-03 00:30:00, pre time: 2023-11-03 00:20:00
2023-11-03 13:45:40,160 [simulate_environment.py | 157] INFO: Start to update the input of 2023-11-03 00:30:00
2023-11-03 13:45:40,160 [simulate_environment.py | 184] INFO: Get 12 unallocated order items, 0 ongoing order items, 0 completed order items
